q_id,doc_id,Gender,InferredGender,PlayerName,NumSeasons,AvgPER,CareerPoints
1,2171,0,0,Howard Eisley,18,9.93,5797
1,2181,0,0,Jason Kidd,23,17.59,18992
1,2190,0,0,Eric Mobley,5,8.78,628
1,2194,0,0,Ivano Newbill,3,7.2,198
1,2200,0,0,Khalid Reeves,10,10.95,2962
1,2202,0,0,Carlos Rogers,10,15.1,2308
1,2205,0,0,Trevor Ruffin,2,15.15,1011
1,2229,0,0,Donnie Boyce,2,12.35,79
1,2231,0,0,Junior Burrough,1,9.0,189
1,2242,0,0,Vincenzo Esposito,1,5.2,116
1,2249,0,0,Alan Henderson,12,14.58,5094
1,2251,0,0,Darryl Johnson,1,9.7,12
1,2255,0,0,Cedric Lewis,1,62.7,4
1,2261,0,0,Antonio McDyess,17,16.48,12517
1,2265,0,0,Howard Nathan,1,11.3,13
1,2266,0,0,Ed O'Bannon,4,8.28,869
1,2267,0,0,Greg Ostertag,11,12.79,3512
1,2269,0,0,Theo Ratliff,24,12.7,7579
1,2278,0,0,Eric Snow,15,10.79,6000
1,2280,0,0,Damon Stoudamire,17,14.12,13305
1,2290,0,0,Eric Williams,18,11.36,6832
1,2297,0,0,Bruce Bowen,15,9.68,5486
1,2302,0,0,Jimmy Carruth,1,9.7,5
1,2325,0,0,Travis Knight,7,9.21,1276
1,2328,0,0,Horacio Llamas,2,9.55,58
1,2332,0,1,Amal McCaskill,4,7.72,204
1,2334,0,0,Martin Muursepp,4,14.2,545
1,2336,0,0,Ruben Nembhard,3,12.67,80
1,2337,0,0,Gaylon Nickerson,3,10.57,30
1,2354,0,0,Brett Szabo,1,8.8,153
1,2357,0,0,Ben Wallace,18,14.14,6602
1,2360,0,0,Jerome Williams,13,15.38,4659
1,2363,0,0,Derek Anderson,13,13.9,7706
1,2373,0,0,James Collins,1,15.3,59
1,2377,0,0,William Cunningham,6,8.72,28
1,2380,0,0,Tony Farmer,2,14.8,532
1,2385,0,0,Kiwane Garris,2,2.4,72
1,2389,0,0,Jerald Honeycutt,4,5.35,305
1,2396,0,0,Rusty LaRue,5,7.34,486
1,2398,0,0,Michael McDonald,1,-22.1,0
1,2403,0,0,Charles O'Bannon,2,11.9,120
1,2407,0,0,Mark Pope,6,1.73,285
1,2411,0,0,Kebu Stewart,1,14.0,40
1,2419,0,0,Jacque Vaughn,12,9.83,3463
1,2420,0,0,Eric Washington,2,9.55,716
1,2422,0,0,DeJuan Wheat,2,13.15,265
1,2423,0,0,Alvin Williams,11,10.15,4485
1,2427,0,0,Toby Bailey,2,11.05,241
1,2430,0,0,Mike Bibby,19,13.98,16053
1,2431,0,0,Earl Boykins,19,15.98,6955
1,2444,0,0,Matt Harpring,11,14.81,7645
1,2445,0,0,Al Harrington,20,13.24,15991
1,2455,0,0,Raef LaFrentz,12,15.59,6741
1,2460,0,1,Kelly McCarty,1,31.7,4
1,2465,0,0,Nazr Mohammed,28,14.04,8765
1,2466,0,1,Mikki Moore,19,12.6,3681
1,2471,0,0,Michael Olowokandi,11,9.54,4373
1,2473,0,0,Ruben Patterson,12,16.19,7811
1,2474,0,0,Paul Pierce,19,18.56,26397
1,2487,0,0,Jahidi White,9,9.62,2215
1,2494,0,0,William Avery,3,7.03,379
1,2498,0,0,Cal Bowdler,3,11.73,424
1,2503,0,0,Greg Buckner,10,10.29,2878
1,2513,0,0,Steve Francis,11,16.65,11451
1,2516,0,0,Adrian Griffin,11,10.25,1984
1,2519,0,0,Derek Hood,1,-24.2,0
1,2523,0,0,Harold Jamison,2,10.25,72
1,2524,0,0,DeMarco Johnson,1,0.5,6
1,2528,0,1,Quincy Lewis,4,6.2,567
1,2532,0,0,Andre Miller,25,16.02,18135
1,2539,0,0,Aleksandar Radojevic,2,0.45,26
1,2545,0,0,Jamel Thomas,4,7.65,47
1,2554,0,0,Erick Barkley,2,10.05,77
1,2558,0,0,Mateen Cleaves,6,6.52,609
1,2567,0,0,Steve Goodrich,2,1.6,24
1,2569,0,0,Zendon Hamilton,8,13.4,611
1,2572,0,0,Eddie House,16,13.1,6226
1,2588,0,0,Mike Miller,19,13.2,11984
1,2601,0,0,Joel Przybilla,17,8.31,2406
1,2603,0,0,Quentin Richardson,13,11.5,8032
1,2604,0,0,Terrance Roberson,1,-15.0,0
1,2615,0,0,Hedo Turkoglu,17,13.05,11899
1,2617,0,0,Jake Voskuhl,9,9.16,1814
1,2628,0,0,Ruben Boumtje-Boumtje,3,9.43,43
1,2640,0,0,Jason Collins,17,4.99,2802
1,2643,0,0,Samuel Dalembert,13,15.22,6814
1,2650,0,0,Antonis Fotsis,1,11.3,108
1,2656,0,0,Kirk Haston,2,-2.55,32
1,2667,0,0,Tony Parker,16,18.33,18522
1,2673,0,0,Jeryl Sasser,2,7.65,204
1,2677,0,0,Bobby Simmons,10,9.95,4189
1,2678,0,0,Leon Smith,2,17.85,33
1,2684,0,0,Ratko Varda,1,15.0,5
1,2689,0,0,Robert Archibald,5,5.82,83
1,2693,0,0,Carlos Boozer,13,19.25,13976
1,2711,0,0,Nene Hilario,17,13.03,10953
1,2718,0,0,Fred Jones,9,10.34,3618
1,2721,0,0,Roger Mason,12,8.27,3385
1,2726,0,0,Chris Owens,1,20.1,4
1,2733,0,0,Guy Rucker,1,7.8,0
1,2734,0,0,Kareem Rush,9,7.72,2615
1,2741,0,0,Cezary Trybanski,4,-8.72,16
1,2742,0,0,Nikoloz Tskitishvili,8,4.06,593
1,2748,0,0,Jay Williams,1,12.2,714
1,2755,0,0,Jerome Beasley,1,5.9,2
1,2757,0,0,Steve Blake,19,10.66,7154
1,2758,0,0,Keith Bogans,15,9.48,5243
1,2761,0,0,Torraye Braggs,4,9.65,86
1,2763,0,0,Matt Carroll,14,7.37,3196
1,2775,0,0,T.J. Ford,8,14.33,4797
1,2778,0,0,Reece Gaines,5,4.58,164
1,2781,0,0,Ben Handlogten,2,13.7,163
1,2789,0,1,Britton Johnsen,2,1.5,54
1,2794,0,0,Jason Kapono,9,8.78,3398
1,2796,0,0,Maciej Lampe,7,2.89,334
1,2801,0,0,Zaza Pachulia,14,14.04,6774
1,2805,0,0,Kendrick Perkins,17,10.32,4631
1,2813,0,0,Slavko Vranes,1,-20.4,0
1,2815,0,0,Luke Walton,12,9.55,2704
1,2817,0,0,Mo Williams,17,14.54,12535
