PlayerName,NumSeasons,AvgPER,CareerPoints,Gender
Greg Fillmore,2,4.9,118,M
Levi Fontaine,1,12.1,134,M
Jake Ford,2,14.7,126,M
Gary Freeman,3,14.23,334,M
Walt Gilmore,1,6.4,58,M
Spencer Haywood*,14,16.75,16013,M
Gar Heard,15,13.24,8586,M
Al Henry,2,12.0,194,M
A.W. Holt,1,-1.8,4,M
Greg Howard,2,10.55,312,M
John Hummer,8,9.62,2595,M
Greg Hyder,1,8.7,417,M
George Johnson,26,12.21,9240,M
John Johnson,16,12.76,12769,M
Earnie Killum,1,-5.3,1,M
Ron Knight,2,11.15,472,M
Sam Lacey,15,13.21,10464,M
Bob Lanier*,16,21.01,20458,M
Pete Maravich*,12,17.22,16537,M
Harvey Marlatt,3,8.23,225,M
Eddie Mast,3,9.9,283,M
Jim McMillian,9,13.47,8736,M
Larry Mikan,1,8.4,158,M
Rex Morgan,2,9.7,172,M
Calvin Murphy*,13,17.67,17949,M
Ralph Ogden,1,2.5,42,M
Curtis Perry,10,12.06,5016,M
Geoff Petrie,6,15.67,9732,M
Mike Price,3,9.87,391,M
Bob Riley,1,10.9,13,M
Paul Ruffner,3,12.1,109,M
Mike Silliman,1,8.0,91,M
Garfield Smith,2,8.25,168,M
Dave Sorenson,5,11.98,2046,M
Dennis Stewart,1,24.4,4,M
Bill Stricker,1,45.1,4,M
Gary Suiter,1,6.0,42,M
Fred Taylor,4,5.73,472,M
Joe Thomas,1,4.3,55,M
Rudy Tomjanovich,11,16.35,13383,M
John Vallely,4,10.3,527,M
Cornell Warner,11,11.41,3700,M
Bobby Washington,2,14.55,700,M
Jeff Webb,4,8.32,257,M
Herb White,1,8.4,90,M
Milt Williams,3,12.53,236,M
Willie Williams,3,2.47,46,M
Marv Winkler,1,11.4,8,M
Gary Zeller,2,4.45,271,M
Bill Zopf,1,9.6,118,M
Odis Allison,1,4.7,67,M
Vic Bartolome,1,4.4,34,M
Fred Brown,13,17.02,14018,M
Austin Carr,12,12.49,10681,M
Sid Catlett,1,-1.4,6,M
Phil Chenier,12,12.54,10257,M
Jim Cleamons,11,12.29,5931,M
Charlie Davis,5,11.18,1943,M
Jackie Dinkins,1,13.7,45,M
Ken Durrett,6,9.87,649,M
Dick Gibbs,7,6.44,1946,M
Clarence Glover,1,14.0,65,M
Jeff Halliburton,4,13.82,977,M
Fred Hilton,2,11.3,1131,M
Jake Jones,3,8.9,152,M
